Link(url='https://twitter.com/ThePuneMirror', text='Follow', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ipl-2015/David-Warner/punephotos/47299299.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/football/Steven-Gerrard/punephotos/47308576.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/football/Yevhen-Seleznyov/punephotos/47308520.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/tennis/Rafa-Nadal/punephotos/47299222.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ipl-2015/Shakib-Al-Hasan/punephotos/47299310.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/jennifer-lopez/punephotos/47298970.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/sonakshi-sinha/punephotos/47298952.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/sofia-vergara/punephotos/47298933.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/cate-blanchett/punephotos/47298916.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/bombay-velvet/punephotos/47283815.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/kuch-kuch-locha-hai/Sunny-Leone-and-Ram-Kapoor/punephotos/47283719.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/bipasha-basu/punephotos/47283586.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/miranda-kerr-and-selena-gomez/punephotos/47283492.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ipl-2015/Mitchell-Starc/punephotos/47267259.cms', text=u'', fragment='', nofollow=False)
